2222-6rct;Contraloría Municipal de Itagüí;Organismos de Control;Contratación Mes de Junio de 2018 - Contraloría Municipal de Itagüí;9;10;0;10;10;10;8;8;10;10
228d-qpd2;Alcaldía Municipal  de Roncesvalles;Vivienda, Ciudad y Territorio;Acueducto De Ronces;10;10;0;10;10;10;9;9;10;10
22cz-unrk;Alcaldía Municipal de Fresno;Cultura;Festividades Fresno- Tolima;10;10;0;10;10;9;8;8;10;10
22dc-y2mu;Universidad del Quindio;Educación;Admitidos Por Centro Tutorial 2016-2017;3;10;0;10;10;10;9;9;10;10
22i9-9q66;Policía Nacional;Seguridad y Defensa;Operatividad Recuperación Motocicletas;9;10;0;10;10;10;7;7;10;10
22k6-rq2v;Alcaldía de Beltrán;Estadísticas Nacionales;Proyección Habitantes Beltrán;10;10;10;10;10;10;9;9;10;10
22mu-gv66;Alcaldia de Nilo Cundinamarca;Ciencia, Tecnología e Innovación;Indice de Información Reservada y Clasificada;9;10;0;10;10;10;10;10;10;10
22ny-r2cf;Grupo Información de Criminalidad (GICRI) - DIJIN. Sujeto a variación;Justicia y Derecho;Delitos Sexuales Municipio de Villa del Rosario 2015;10;10;0;10;10;10;9;9;10;10
22wn-wxiu;Secretaria de Desarrollo Agroeconomico;Agricultura y Desarrollo Rural;CULTIVOS CASTILLA LA NUEVA 2013;10;10;0;10;10;9;9;9;10;10
2339-t3uf;UNIDAD NACIONAL DE PROTECCIÓN;Gastos Gubernamentales;Ejecucion Presupuestal  Acumulada 2018;9;10;0;10;10;10;8;8;10;10
233f-b6ed;RED DE LA SALUD DEL NORTE;Salud y Protección Social;Esquema de Publicacion de Informacion;8;10;0;10;10;10;8;8;0;0
238m-denz;Migracion colombia;Cultura;HOSPEDAJES DEL AMAZONAS;9;10;0;10;10;10;7;7;10;10
239z-ikj9;Secretaria de Ambiente Agricultura y Pesca;Agricultura y Desarrollo Rural;Rendimiento en toneladas por hectáreas en Cultivos de  Raíces Bulbos y Tubérculos  en el departamento del valle del cauca del año 2000 al 2018;7;10;10;10;10;10;7;7;10;10
23be-gx37;Secretaría de Bienestar Social;Estadísticas Nacionales;Población con discapacidad por género y edad de Guadalajara de Buga año 2016 / Population with disabilities by gender and age of Guadalajara de Buga year 2016;10;10;0;10;10;10;9;9;10;10
23ce-v8va;Alcaldía Municipal de Chía;Estadísticas Nacionales;Pago Servicio de Energía Alumbrado Palacio Municipal  I Semestre 2017;9;10;0;10;10;10;7;7;10;10
23dz-v44t;CONTRALORÍA GENERAL DE ANTIOQUIA;Gastos Gubernamentales;Consolidado de Contratación de Antioquia Mes de Abril de 2015;7;10;0;10;10;10;7;7;10;10
23gb-dhmd;Secretaria de Salud Gobernación del Valle del Cauca;Salud y Protección Social;Cobertura De Afiliación Al Sistema General De Seguridad Social De Salud En El Departamento Del Valle Del Cauca Año 2015;10;10;0;10;10;10;8;8;10;10
23j9-ndpb;Alcaldía Municipal de Chía;Estadísticas Nacionales;Información de contratación directa Alcaldía Municipal de Chía vigencia   2017;10;10;0;10;10;10;7;7;10;10
23ki-ugv4;Alcaldía de Medellín;Ordenamiento Territorial;Corredores Verdes Municipio de Medellín;10;10;0;10;10;10;7;7;10;10
23ky-u45w;Instituto Nacional de Medicina Legal y Ciencias Forenses;Estadísticas Nacionales;Lesiones no fatales de causa externa, casos y tasas, según departamento y municipio del hecho. Colombia, 2016;9;10;0;10;10;10;8;8;10;10
